Post Date,Post Subtype,Post Type,Number Of Comments,Number Of Likes,Number Of Posts
3/24/2023,Level,Visual,0,1,88
3/24/2023,Streak,Visual,0,2,19
3/24/2023,Collection,Visual,0,0,35
3/24/2023,Course Certificate,Visual,0,2,35
3/25/2023,Level,Visual,0,2,85
3/25/2023,Goal,Visual,0,3,5
3/25/2023,Streak,Visual,0,4,27
3/25/2023,Collection,Visual,0,2,38
3/25/2023,Course Certificate,Visual,0,4,30
3/26/2023,Level,Visual,1,2,83
3/26/2023,Goal,Visual,0,29,60
3/26/2023,Streak,Visual,0,3,15
3/26/2023,Collection,Visual,0,1,40
3/26/2023,Course Certificate,Visual,0,4,58
3/26/2023,Career Track Certificate,Visual,0,0,1
3/27/2023,Level,Visual,0,2,90
3/27/2023,Goal,Visual,0,1,2
3/27/2023,Streak,Visual,0,5,19
3/27/2023,Collection,Visual,0,1,33
3/27/2023,Course Certificate,Visual,0,4,36
3/28/2023,Text Post,Text Post,1,2,2
3/28/2023,Level,Visual,0,3,78
3/28/2023,Streak,Visual,0,2,27
3/28/2023,Collection,Visual,0,2,27
3/28/2023,Course Certificate,Visual,0,7,37
3/29/2023,Text Post,Text Post,4,6,6
3/29/2023,Level,Visual,0,4,80
3/29/2023,Streak,Visual,0,4,18
3/29/2023,Collection,Visual,0,1,33
3/29/2023,Course Certificate,Visual,0,9,41
3/29/2023,Career Track Certificate,Visual,0,0,1
3/30/2023,Text Post,Text Post,1,2,2
3/30/2023,Level,Visual,1,4,79
3/30/2023,Streak,Visual,0,3,25
3/30/2023,Collection,Visual,0,2,32
3/30/2023,Course Certificate,Visual,1,9,47
3/31/2023,Text Post,Text Post,1,1,1
3/31/2023,Level,Visual,1,2,89
3/31/2023,Streak,Visual,0,3,20
3/31/2023,Collection,Visual,0,0,38
3/31/2023,Course Certificate,Visual,0,18,53
3/31/2023,Career Track Certificate,Visual,1,1,3
4/1/2023,Text Post,Text Post,1,1,1
4/1/2023,Level,Visual,0,3,97
4/1/2023,Goal,Visual,0,3,5
4/1/2023,Streak,Visual,0,5,28
4/1/2023,Collection,Visual,0,0,24
4/1/2023,Course Certificate,Visual,0,5,29
4/2/2023,Text Post,Text Post,1,1,1
4/2/2023,Level,Visual,0,5,94
4/2/2023,Goal,Visual,0,35,66
4/2/2023,Streak,Visual,0,4,13
4/2/2023,Collection,Visual,0,1,35
4/2/2023,Course Certificate,Visual,0,28,56
4/2/2023,Career Track Certificate,Visual,0,0,1
4/3/2023,Text Post,Text Post,1,2,2
4/3/2023,Level,Visual,0,5,98
4/3/2023,Goal,Visual,0,2,6
4/3/2023,Streak,Visual,0,4,16
4/3/2023,Collection,Visual,0,1,41
4/3/2023,Course Certificate,Visual,0,11,49
4/4/2023,Level,Visual,0,1,113
4/4/2023,Streak,Visual,0,1,16
4/4/2023,Collection,Visual,0,1,28
4/4/2023,Course Certificate,Visual,0,14,46
4/5/2023,Level,Visual,0,4,98
4/5/2023,Streak,Visual,0,4,20
4/5/2023,Collection,Visual,0,0,22
4/5/2023,Course Certificate,Visual,0,1,22
4/5/2023,Career Track Certificate,Visual,0,0,1
4/6/2023,Level,Visual,0,3,85
4/6/2023,Streak,Visual,0,5,19
4/6/2023,Collection,Visual,0,1,31
4/6/2023,Course Certificate,Visual,1,7,38
4/7/2023,Text Post,Text Post,0,1,1
4/7/2023,Level,Visual,0,1,111
4/7/2023,Streak,Visual,0,2,24
4/7/2023,Collection,Visual,0,1,28
4/7/2023,Course Certificate,Visual,0,14,44
4/8/2023,Text Post,Text Post,1,1,1
4/8/2023,Level,Visual,0,2,91
4/8/2023,Goal,Visual,0,2,6
4/8/2023,Streak,Visual,0,8,29
4/8/2023,Collection,Visual,0,0,33
4/8/2023,Course Certificate,Visual,0,3,35
4/9/2023,Level,Visual,0,2,100
4/9/2023,Goal,Visual,0,26,56
4/9/2023,Streak,Visual,0,0,17
4/9/2023,Collection,Visual,0,1,26
4/9/2023,Course Certificate,Visual,0,2,32
4/10/2023,Text Post,Text Post,2,3,4
4/10/2023,Level,Visual,0,3,101
4/10/2023,Goal,Visual,0,2,5
4/10/2023,Streak,Visual,0,2,15
4/10/2023,Collection,Visual,1,2,40
4/10/2023,Course Certificate,Visual,0,10,50
4/11/2023,Level,Visual,0,2,120
4/11/2023,Streak,Visual,0,1,12
4/11/2023,Collection,Visual,0,0,36
4/11/2023,Course Certificate,Visual,0,2,30
4/12/2023,Text Post,Text Post,1,3,3
4/12/2023,Level,Visual,0,0,92
4/12/2023,Streak,Visual,0,6,19
4/12/2023,Collection,Visual,0,0,29
4/12/2023,Course Certificate,Visual,0,3,40
4/13/2023,Text Post,Text Post,1,4,4
4/13/2023,Level,Visual,0,3,101
4/13/2023,Streak,Visual,0,2,23
4/13/2023,Collection,Visual,0,0,20
4/13/2023,Course Certificate,Visual,0,1,22
4/13/2023,Career Track Certificate,Visual,0,0,1
4/14/2023,Text Post,Text Post,1,2,2
4/14/2023,Level,Visual,0,1,99
4/14/2023,Streak,Visual,0,2,13
4/14/2023,Collection,Visual,0,1,34
4/14/2023,Course Certificate,Visual,0,4,26
4/15/2023,Text Post,Text Post,0,1,1
4/15/2023,Level,Visual,0,5,102
4/15/2023,Goal,Visual,0,2,6
4/15/2023,Streak,Visual,0,3,19
4/15/2023,Collection,Visual,0,0,26
4/15/2023,Course Certificate,Visual,0,9,32
4/16/2023,Text Post,Text Post,1,0,1
4/16/2023,Level,Visual,1,2,96
4/16/2023,Goal,Visual,0,30,62
4/16/2023,Streak,Visual,0,4,17
4/16/2023,Collection,Visual,0,0,24
4/16/2023,Course Certificate,Visual,0,8,43
4/17/2023,Text Post,Text Post,1,1,1
4/17/2023,Level,Visual,0,1,92
4/17/2023,Goal,Visual,0,3,7
4/17/2023,Streak,Visual,0,1,16
4/17/2023,Collection,Visual,0,0,35
4/17/2023,Course Certificate,Visual,0,7,42
4/18/2023,Level,Visual,1,1,93
4/18/2023,Streak,Visual,0,1,16
4/18/2023,Collection,Visual,0,0,40
4/18/2023,Course Certificate,Visual,0,5,60
4/18/2023,Career Track Certificate,Visual,0,1,1
4/19/2023,Text Post,Text Post,1,2,2
4/19/2023,Level,Visual,0,1,90
4/19/2023,Streak,Visual,0,2,14
4/19/2023,Collection,Visual,0,1,27
4/19/2023,Course Certificate,Visual,0,7,42
4/20/2023,Text Post,Text Post,0,1,1
4/20/2023,Level,Visual,0,0,89
4/20/2023,Streak,Visual,0,2,12
4/20/2023,Collection,Visual,0,1,26
4/20/2023,Course Certificate,Visual,0,7,47
4/20/2023,Career Track Certificate,Visual,0,0,1
4/21/2023,Text Post,Text Post,1,1,1
4/21/2023,Level,Visual,1,4,89
4/21/2023,Streak,Visual,0,5,21
4/21/2023,Collection,Visual,0,2,32
4/21/2023,Course Certificate,Visual,0,5,38
4/22/2023,Level,Visual,0,2,73
4/22/2023,Goal,Visual,0,4,8
4/22/2023,Streak,Visual,0,5,20
4/22/2023,Collection,Visual,0,3,25
4/22/2023,Course Certificate,Visual,0,3,24
4/22/2023,Career Track Certificate,Visual,0,0,2
4/23/2023,Level,Visual,0,2,79
4/23/2023,Goal,Visual,0,32,64
4/23/2023,Streak,Visual,0,3,10
4/23/2023,Collection,Visual,0,3,30
4/23/2023,Course Certificate,Visual,0,9,31
4/23/2023,Career Track Certificate,Visual,0,1,1
4/24/2023,Level,Visual,0,0,81
4/24/2023,Goal,Visual,0,1,3
4/24/2023,Streak,Visual,0,4,21
4/24/2023,Collection,Visual,0,0,31
4/24/2023,Course Certificate,Visual,0,8,33
4/25/2023,Text Post,Text Post,2,3,3
4/25/2023,Level,Visual,0,1,100
4/25/2023,Streak,Visual,0,3,15
4/25/2023,Collection,Visual,0,1,24
4/25/2023,Course Certificate,Visual,0,6,29
